Year,Month,Class,SKU,Sum of Amount
2023,Apr,Agroindustrias el Molino de la Costa SAS,Basil,4266.16936
2023,Apr,Agroindustrias el Molino de la Costa SAS,Temperature Recorder,0
2023,Apr,Agroindustrias el Molino de la Costa SAS,Thai Basil,77.38024685
2023,Apr,Basil Farm SAS,Basil,12087.56274
2023,Apr,Basil Farm SAS,Temperature Recorder,0
2023,Apr,Inversiones Agricola Tocota SAS,Mint,964.5213956
2023,Apr,Inversiones Agricola Tocota SAS,Thyme,791.5623074
2023,Apr,Jorge Oswaldo Flores Predio Alcaparro,Bay leaf,722.5132787
2023,Apr,La Corsaria SAS,Handling,1842.969635
2023,Apr,La Corsaria SAS,Oregano,7.398220316
2023,Apr,La Traviesa SAS,Mint,1157.875939
2023,Apr,La Traviesa SAS,Tarragon,1148.257225
2023,Apr,MD Investments SAS,Rosemary,1141.030602
2023,Apr,MD Investments SAS,Tarragon,26.21744325
2023,Apr,Organic Garden SAS,Basil,142.3920409
2023,Apr,Organic Garden SAS,Bay leaf,1530.054474
2023,Apr,Organic Garden SAS,Chives,568.3726197
2023,Apr,Organic Garden SAS,Marjoram,74.93993314
2023,Apr,Organic Garden SAS,Mint,3416.055128
2023,Apr,Organic Garden SAS,Oregano,359.5430899
2023,Apr,Organic Garden SAS,Rosemary,1875.326082
2023,Apr,Organic Garden SAS,Temperature Recorder,0
2023,Apr,Organic Garden SAS,Thyme,1380.494311
2023,Apr,Suaga Organic Herbs SAS,Chives,3394.375408
2023,Apr,Suaga Organic Herbs SAS,Coriander,573.8450139
2023,Apr,Suaga Organic Herbs SAS,Dill,263.3786983
2023,Apr,Suaga Organic Herbs SAS,Italian Oregano,159.6875029
2023,Apr,Suaga Organic Herbs SAS,Marjoram,12.48449678
2023,Apr,Suaga Organic Herbs SAS,Mint,686.494221
2023,Apr,Suaga Organic Herbs SAS,Parsley,171.4917745
2023,Apr,Suaga Organic Herbs SAS,Rosemary,171.3612781
2023,Apr,Suaga Organic Herbs SAS,Tarragon,919.8782736
2023,Apr,Suaga Organic Herbs SAS,Thyme,986.5064403
2023,May,2H Honda Herbs S.A.S,Basil,732.2742203
2023,May,Agroindustrias el Molino de la Costa SAS,Basil,475.2380129
2023,May,Agroindustrias el Molino de la Costa SAS,Thai Basil,11.01565699
2023,May,Basil Farm SAS,Basil,12167.13254
2023,May,Eshkol Premium SAS,Chives,45.33128468
2023,May,Eshkol Premium SAS,Mint,72.52984107
2023,May,Eshkol Premium SAS,Oregano,10.57027739
2023,May,Eshkol Premium SAS,Rosemary,65.21714
2023,May,Eshkol Premium SAS,Tarragon,18.16676804
2023,May,Eshkol Premium SAS,Thyme,129.0146888
2023,May,Inversiones Agricola Tocota SAS,Mint,813.9155662
2023,May,Inversiones Agricola Tocota SAS,Thyme,372.0580258
2023,May,Jorge Oswaldo Flores Predio Alcaparro,Bay leaf,665.0955561
2023,May,La Corsaria SAS,Handling,1576.629382
2023,May,La Traviesa SAS,Mint,1143.835335
2023,May,La Traviesa SAS,Tarragon,1179.344828
2023,May,La Traviesa SAS,Thyme,127.728564
2023,May,MD Investments SAS,Rosemary,1080.686481
2023,May,MD Investments SAS,Tarragon,208.9008181
2023,May,Organic Garden SAS,Bay leaf,842.8619841
2023,May,Organic Garden SAS,Chives,600.8485053
2023,May,Organic Garden SAS,Marjoram,49.25969366
2023,May,Organic Garden SAS,Mint,1291.935285
2023,May,Organic Garden SAS,Oregano,300.3610895
2023,May,Organic Garden SAS,Rosemary,2308.068164
2023,May,Organic Garden SAS,Thyme,866.4605869
2023,May,Suaga Organic Herbs SAS,Chives,3334.457057
2023,May,Suaga Organic Herbs SAS,Coriander,250.6196714
2023,May,Suaga Organic Herbs SAS,Dill,479.026961
2023,May,Suaga Organic Herbs SAS,Italian Oregano,150.7056412
2023,May,Suaga Organic Herbs SAS,Marjoram,33.37878817
2023,May,Suaga Organic Herbs SAS,Mint,2761.855964
2023,May,Suaga Organic Herbs SAS,Parsley,98.77961959
2023,May,Suaga Organic Herbs SAS,Rosemary,169.2309782
2023,May,Suaga Organic Herbs SAS,Tarragon,585.8443046
2023,May,Suaga Organic Herbs SAS,Thyme,880.6007154
