Year,Month,Class,SKU,Sum of Amount
2023,Feb,Jorge Oswaldo Flores Predio Alcaparro,Bay leaf,6514.868402
2023,Feb,La Corsaria SAS,Handling,14471.85945
2023,Feb,La Traviesa SAS,Mint,3085.846345
2023,Feb,La Traviesa SAS,Tarragon,5335.841474
2023,Feb,MD Investments SAS,Rosemary,11680.53224
2023,Feb,Organic Garden SAS,Basil,1766.464523
2023,Feb,Organic Garden SAS,Bay leaf,14447.288
2023,Feb,Organic Garden SAS,Chives,7790.981846
2023,Feb,Organic Garden SAS,CM-Basil,-254.4
2023,Feb,Organic Garden SAS,CM-Chives,-56.7
2023,Feb,Organic Garden SAS,CM-Marjoram,-61.6
2023,Feb,Organic Garden SAS,CM-Mint,-201.24
2023,Feb,Organic Garden SAS,CM-Oregano,-279.96
2023,Feb,Organic Garden SAS,CM-Rosemary,-704.06
2023,Feb,Organic Garden SAS,Marjoram,526.1685243
2023,Feb,Organic Garden SAS,Mint,14147.33519
2023,Feb,Organic Garden SAS,Oregano,4271.176373
2023,Feb,Organic Garden SAS,Rosemary,9846.868299
2023,Feb,Organic Garden SAS,Temperature Recorder,0
2023,Feb,Organic Garden SAS,Thyme,5577.271191
2023,Feb,Plantar de Colombia SAS,Chives,3514.5
2023,Feb,Plantar de Colombia SAS,Mint,158.4
2023,Feb,Plantar de Colombia SAS,Oregano,162
2023,Feb,Plantar de Colombia SAS,Thyme,2305.5
2023,Feb,Smart Group Traders:Natural Produce of Peru,Ginger,832
2023,Feb,Suaga Organic Herbs SAS,Chives,27998.85606
2023,Feb,Suaga Organic Herbs SAS,CM-Chives,-3144.71
2023,Feb,Suaga Organic Herbs SAS,CM-Italian Oregano,-91.14
2023,Feb,Suaga Organic Herbs SAS,CM-Mint,-1702.8
2023,Feb,Suaga Organic Herbs SAS,CM-Oregano,-8.94
2023,Feb,Suaga Organic Herbs SAS,CM-Parsley,-19.96
2023,Feb,Suaga Organic Herbs SAS,CM-Rosemary,-51.12
2023,Feb,Suaga Organic Herbs SAS,CM-Thyme,-26.28
2023,Feb,Suaga Organic Herbs SAS,Italian Oregano,854.8434834
2023,Feb,Suaga Organic Herbs SAS,Marjoram,103.0435503
2023,Feb,Suaga Organic Herbs SAS,Mint,13009.78863
2023,Feb,Suaga Organic Herbs SAS,Parsley,277.1107482
2023,Feb,Suaga Organic Herbs SAS,Rosemary,1259.22956
2023,Feb,Suaga Organic Herbs SAS,Tarragon,2280.816699
2023,Feb,Suaga Organic Herbs SAS,Temperature Recorder,0
2023,Feb,Suaga Organic Herbs SAS,Thyme,4493.270433
2023,Mar,Agroindustrias el Molino de la Costa SAS,Basil,37174.4967
2023,Mar,Agroindustrias el Molino de la Costa SAS,CM-Basil,-2732.1
2023,Mar,Agroindustrias el Molino de la Costa SAS,CM-Thai Basil,-303.2
2023,Mar,Agroindustrias el Molino de la Costa SAS,Temperature Recorder,0
2023,Mar,Agroindustrias el Molino de la Costa SAS,Thai Basil,2016.821718
2023,Mar,Basil Farm SAS,Basil,126267.2955
2023,Mar,Basil Farm SAS,CM-Basil,-11122.25
2023,Mar,Basil Farm SAS,Temperature Recorder,0
2023,Mar,El Sol Brands:JCH Organic SAC,Ginger,2765
2023,Mar,Eshkol Premium SAS,Chives,3708
2023,Mar,Eshkol Premium SAS,CM-Chives,-231.75
2023,Mar,Eshkol Premium SAS,CM-Mint,-60
2023,Mar,Eshkol Premium SAS,CM-Thyme,-498.15
2023,Mar,Eshkol Premium SAS,Mint,3752
2023,Mar,Eshkol Premium SAS,Oregano,441
2023,Mar,Eshkol Premium SAS,Rosemary,2612.25
2023,Mar,Eshkol Premium SAS,Tarragon,816
2023,Mar,Eshkol Premium SAS,Thyme,2855.25
2023,Mar,Garland LLC:Natural Produce of Peru,Ginger,2112
2023,Mar,Garland LLC:S.A.T. Montealbo,Garlic,1915
2023,Mar,Inversiones Agricola Tocota SAS,CM-Mint,-1486.88
2023,Mar,Inversiones Agricola Tocota SAS,CM-Thyme,-395.77
2023,Mar,Inversiones Agricola Tocota SAS,Mint,13180.26546
2023,Mar,Inversiones Agricola Tocota SAS,Rosemary,57.96370108
2023,Mar,Inversiones Agricola Tocota SAS,Thyme,8982.256301
2023,Mar,Jorge Oswaldo Flores Predio Alcaparro,Bay leaf,7829.356826
2023,Mar,La Corsaria SAS,Handling,10198.41297
2023,Mar,La Traviesa SAS,CM-Mint,-343.2
2023,Mar,La Traviesa SAS,Mint,5852.139186
2023,Mar,La Traviesa SAS,Tarragon,3972.764194
2023,Mar,MD Investments SAS,Rosemary,9334.469904
2023,Mar,Organic Garden SAS,Bay leaf,11767.07324
2023,Mar,Organic Garden SAS,Chives,7297.797915
2023,Mar,Organic Garden SAS,CM-Chives,-202.99
2023,Mar,Organic Garden SAS,CM-Marjoram,-53.21
2023,Mar,Organic Garden SAS,CM-Mint,-717.75
2023,Mar,Organic Garden SAS,CM-Oregano,-530.33
2023,Mar,Organic Garden SAS,CM-Rosemary,-72.8
2023,Mar,Organic Garden SAS,CM-Thyme,-138.24
2023,Mar,Organic Garden SAS,Marjoram,541.438535
2023,Mar,Organic Garden SAS,Mint,17214.24787
2023,Mar,Organic Garden SAS,Oregano,4158.686864
2023,Mar,Organic Garden SAS,Rosemary,9555.335754
2023,Mar,Organic Garden SAS,Temperature Recorder,0
2023,Mar,Organic Garden SAS,Thyme,7375.235254
2023,Mar,Plantar de Colombia SAS,Chives,2875.5
2023,Mar,Plantar de Colombia SAS,Mint,158.4
2023,Mar,Plantar de Colombia SAS,Thyme,1218
2023,Mar,Smart Group Traders:Natural Produce of Peru,Ginger,1536
2023,Mar,Suaga Organic Herbs SAS,Bay leaf,372.9213884
2023,Mar,Suaga Organic Herbs SAS,Chives,25029.34866
